"","HINCP","RNTP","NP","BDSP","HHT_label","BLDG_AGE_dec"
"1",115000,3000,3,3,"Other family household: Female householder, no spouse present",2
"2",115000,3000,3,3,"Other family household: Female householder, no spouse present",2
"3",115000,3000,3,3,"Other family household: Female householder, no spouse present",2
"4",26200,3000,3,4,"Nonfamily household: Male householder: Not living alone",6
"5",26200,3000,3,4,"Nonfamily household: Male householder: Not living alone",6
"6",26200,3000,3,4,"Nonfamily household: Male householder: Not living alone",6
"7",60000,2000,1,3,"Nonfamily household: Female householder: Living alone",5
"8",25000,890,3,1,"Married couple household",5
"9",25000,890,3,1,"Married couple household",5
"10",25000,890,3,1,"Married couple household",5
"11",28000,1000,3,2,"Married couple household",0
"12",28000,1000,3,2,"Married couple household",0
"13",28000,1000,3,2,"Married couple household",0
"14",25100,1300,3,3,"Other family household: Female householder, no spouse present",7
"15",25100,1300,3,3,"Other family household: Female householder, no spouse present",7
"16",25100,1300,3,3,"Other family household: Female householder, no spouse present",7
"17",65000,1900,1,1,"Nonfamily household: Female householder: Living alone",1
"18",29500,900,1,1,"Nonfamily household: Female householder: Living alone",3
"19",85000,1300,2,2,"Married couple household",1
"20",85000,1300,2,2,"Married couple household",1
"21",4000,940,1,1,"Nonfamily household: Male householder: Living alone",5
"22",193000,1700,4,3,"Other family household: Male householder, no spouse present",3
"23",193000,1700,4,3,"Other family household: Male householder, no spouse present",3
"24",193000,1700,4,3,"Other family household: Male householder, no spouse present",3
"25",193000,1700,4,3,"Other family household: Male householder, no spouse present",3
"26",69500,750,2,1,"Nonfamily household: Male householder: Not living alone",0
"27",69500,750,2,1,"Nonfamily household: Male householder: Not living alone",0
"28",10300,1000,5,3,"Married couple household",3
"29",10300,1000,5,3,"Married couple household",3
"30",10300,1000,5,3,"Married couple household",3
"31",10300,1000,5,3,"Married couple household",3
"32",10300,1000,5,3,"Married couple household",3
"33",112000,2000,2,3,"Married couple household",1
"34",112000,2000,2,3,"Married couple household",1
"35",21000,750,1,1,"Nonfamily household: Male householder: Living alone",4
"36",20000,1100,2,2,"Married couple household",2
"37",20000,1100,2,2,"Married couple household",2
"38",75000,1200,1,1,"Nonfamily household: Female householder: Living alone",3
"39",22000,1000,1,2,"Nonfamily household: Male householder: Living alone",3
"40",20000,830,4,2,"Other family household: Female householder, no spouse present",3
"41",20000,830,4,2,"Other family household: Female householder, no spouse present",3
"42",20000,830,4,2,"Other family household: Female householder, no spouse present",3
"43",20000,830,4,2,"Other family household: Female householder, no spouse present",3
"44",70000,590,1,1,"Nonfamily household: Male householder: Living alone",4
"45",67000,800,1,1,"Nonfamily household: Female householder: Living alone",5
"46",55500,670,1,2,"Nonfamily household: Female householder: Living alone",2
"47",36000,1100,1,1,"Nonfamily household: Female householder: Living alone",1
"48",126300,1400,2,1,"Married couple household",0
"49",126300,1400,2,1,"Married couple household",0
"50",47000,1400,2,1,"Nonfamily household: Female householder: Not living alone",0
"51",47000,1400,2,1,"Nonfamily household: Female householder: Not living alone",0
"52",56000,1100,1,1,"Nonfamily household: Female householder: Living alone",1
"53",34000,670,1,0,"Nonfamily household: Female householder: Living alone",3
"54",94000,1800,1,3,"Nonfamily household: Female householder: Living alone",3
"55",23400,850,3,2,"Married couple household",5
"56",23400,850,3,2,"Married couple household",5
"57",23400,850,3,2,"Married couple household",5
"58",10000,1500,3,2,"Married couple household",0
"59",10000,1500,3,2,"Married couple household",0
"60",10000,1500,3,2,"Married couple household",0
"61",87230,1200,2,2,"Other family household: Male householder, no spouse present",1
"62",87230,1200,2,2,"Other family household: Male householder, no spouse present",1
"63",50200,1200,4,0,"Other family household: Male householder, no spouse present",6
"64",50200,1200,4,0,"Other family household: Male householder, no spouse present",6
"65",50200,1200,4,0,"Other family household: Male householder, no spouse present",6
"66",50200,1200,4,0,"Other family household: Male householder, no spouse present",6
"67",18000,1300,1,2,"Nonfamily household: Female householder: Living alone",2
"68",9000,900,1,1,"Nonfamily household: Male householder: Living alone",4
"69",56000,1100,1,1,"Nonfamily household: Female householder: Living alone",1
"70",60000,1600,2,2,"Nonfamily household: Female householder: Not living alone",5
"71",60000,1600,2,2,"Nonfamily household: Female householder: Not living alone",5
"72",14500,1200,1,0,"Nonfamily household: Female householder: Living alone",0
"73",102200,2000,3,3,"Nonfamily household: Male householder: Not living alone",6
"74",102200,2000,3,3,"Nonfamily household: Male householder: Not living alone",6
"75",102200,2000,3,3,"Nonfamily household: Male householder: Not living alone",6
"76",6300,960,1,1,"Nonfamily household: Female householder: Living alone",3
"77",65000,1200,1,1,"Nonfamily household: Male householder: Living alone",2
"78",29000,1100,1,1,"Nonfamily household: Female householder: Living alone",1
"79",58000,900,1,1,"Nonfamily household: Male householder: Living alone",4
"80",46800,1200,6,2,"Married couple household",4
"81",46800,1200,6,2,"Married couple household",4
"82",46800,1200,6,2,"Married couple household",4
"83",46800,1200,6,2,"Married couple household",4
"84",46800,1200,6,2,"Married couple household",4
"85",46800,1200,6,2,"Married couple household",4
"86",40600,1900,4,4,"Other family household: Female householder, no spouse present",6
"87",40600,1900,4,4,"Other family household: Female householder, no spouse present",6
"88",40600,1900,4,4,"Other family household: Female householder, no spouse present",6
"89",40600,1900,4,4,"Other family household: Female householder, no spouse present",6
"90",33300,790,1,1,"Nonfamily household: Male householder: Living alone",4
"91",63800,1400,2,2,"Nonfamily household: Female householder: Not living alone",8
"92",63800,1400,2,2,"Nonfamily household: Female householder: Not living alone",8
"93",88000,2200,1,0,"Nonfamily household: Male householder: Living alone",0
"94",70000,1200,1,1,"Nonfamily household: Female householder: Living alone",3
"95",20000,830,1,1,"Nonfamily household: Male householder: Living alone",4
"96",81000,990,2,1,"Married couple household",0
"97",81000,990,2,1,"Married couple household",0
"98",44600,840,2,1,"Married couple household",1
"99",44600,840,2,1,"Married couple household",1
"100",50700,1600,6,5,"Other family household: Female householder, no spouse present",1
"101",50700,1600,6,5,"Other family household: Female householder, no spouse present",1
"102",50700,1600,6,5,"Other family household: Female householder, no spouse present",1
"103",50700,1600,6,5,"Other family household: Female householder, no spouse present",1
"104",50700,1600,6,5,"Other family household: Female householder, no spouse present",1
"105",50700,1600,6,5,"Other family household: Female householder, no spouse present",1
"106",50000,1000,1,1,"Nonfamily household: Male householder: Living alone",1
"107",18000,680,4,1,"Married couple household",4
"108",18000,680,4,1,"Married couple household",4
"109",18000,680,4,1,"Married couple household",4
"110",18000,680,4,1,"Married couple household",4
"111",41250,1500,3,4,"Other family household: Female householder, no spouse present",0
"112",41250,1500,3,4,"Other family household: Female householder, no spouse present",0
"113",41250,1500,3,4,"Other family household: Female householder, no spouse present",0
"114",197000,2200,2,4,"Married couple household",0
"115",197000,2200,2,4,"Married couple household",0
"116",64000,1300,1,1,"Nonfamily household: Male householder: Living alone",0
"117",76000,1500,1,1,"Nonfamily household: Male householder: Living alone",0
"118",28400,840,1,1,"Nonfamily household: Female householder: Living alone",0
"119",69200,3000,1,1,"Nonfamily household: Male householder: Living alone",4
"120",80000,3000,2,3,"Nonfamily household: Male householder: Not living alone",3
"121",80000,3000,2,3,"Nonfamily household: Male householder: Not living alone",3
"122",89900,2000,2,3,"Nonfamily household: Male householder: Not living alone",4
"123",89900,2000,2,3,"Nonfamily household: Male householder: Not living alone",4
"124",20000,1700,2,2,"Nonfamily household: Male householder: Not living alone",0
"125",20000,1700,2,2,"Nonfamily household: Male householder: Not living alone",0
"126",160000,1800,2,3,"Nonfamily household: Female householder: Not living alone",3
"127",160000,1800,2,3,"Nonfamily household: Female householder: Not living alone",3
"128",265000,1300,2,2,"Married couple household",3
"129",265000,1300,2,2,"Married couple household",3
"130",83200,1100,2,1,"Nonfamily household: Female householder: Not living alone",1
"131",83200,1100,2,1,"Nonfamily household: Female householder: Not living alone",1
"132",68000,1700,2,3,"Other family household: Female householder, no spouse present",3
"133",68000,1700,2,3,"Other family household: Female householder, no spouse present",3
"134",110000,1500,2,2,"Nonfamily household: Female householder: Not living alone",4
"135",110000,1500,2,2,"Nonfamily household: Female householder: Not living alone",4
"136",35000,1700,1,0,"Nonfamily household: Female householder: Living alone",3
"137",65000,1200,1,1,"Nonfamily household: Female householder: Living alone",3
"138",42000,1100,1,1,"Nonfamily household: Male householder: Living alone",3
"139",44000,990,2,2,"Nonfamily household: Male householder: Not living alone",3
"140",44000,990,2,2,"Nonfamily household: Male householder: Not living alone",3
"141",81200,1200,1,2,"Nonfamily household: Male householder: Living alone",6
"142",20000,840,1,1,"Nonfamily household: Male householder: Living alone",0
"143",56350,1200,2,2,"Nonfamily household: Male householder: Not living alone",2
"144",56350,1200,2,2,"Nonfamily household: Male householder: Not living alone",2
"145",95000,1300,1,1,"Nonfamily household: Female householder: Living alone",1
"146",49000,800,2,3,"Other family household: Female householder, no spouse present",3
"147",49000,800,2,3,"Other family household: Female householder, no spouse present",3
"148",1100,890,3,2,"Married couple household",3
"149",1100,890,3,2,"Married couple household",3
"150",1100,890,3,2,"Married couple household",3
"151",95000,1700,2,2,"Nonfamily household: Male householder: Not living alone",8
"152",95000,1700,2,2,"Nonfamily household: Male householder: Not living alone",8
"153",44100,1200,2,3,"Other family household: Female householder, no spouse present",3
"154",44100,1200,2,3,"Other family household: Female householder, no spouse present",3
"155",65000,920,1,1,"Nonfamily household: Male householder: Living alone",3
"156",100200,1400,2,2,"Married couple household",1
"157",100200,1400,2,2,"Married couple household",1
"158",104000,1400,2,3,"Other family household: Female householder, no spouse present",3
"159",104000,1400,2,3,"Other family household: Female householder, no spouse present",3
"160",125000,2100,2,1,"Nonfamily household: Female householder: Not living alone",1
"161",125000,2100,2,1,"Nonfamily household: Female householder: Not living alone",1
"162",41000,930,2,1,"Married couple household",3
"163",41000,930,2,1,"Married couple household",3
"164",12600,590,2,2,"Nonfamily household: Female householder: Not living alone",3
"165",12600,590,2,2,"Nonfamily household: Female householder: Not living alone",3
"166",60100,1000,2,3,"Other family household: Female householder, no spouse present",1
"167",60100,1000,2,3,"Other family household: Female householder, no spouse present",1
"168",1e+05,2000,1,1,"Nonfamily household: Female householder: Living alone",1
"169",105800,2000,4,4,"Married couple household",1
"170",105800,2000,4,4,"Married couple household",1
"171",105800,2000,4,4,"Married couple household",1
"172",105800,2000,4,4,"Married couple household",1
"173",88800,1100,4,2,"Married couple household",3
"174",88800,1100,4,2,"Married couple household",3
"175",88800,1100,4,2,"Married couple household",3
"176",88800,1100,4,2,"Married couple household",3
"177",6900,1200,2,2,"Nonfamily household: Male householder: Not living alone",2
"178",6900,1200,2,2,"Nonfamily household: Male householder: Not living alone",2
"179",9000,1600,2,1,"Other family household: Female householder, no spouse present",3
"180",9000,1600,2,1,"Other family household: Female householder, no spouse present",3
"181",30000,1000,4,2,"Other family household: Female householder, no spouse present",3
"182",30000,1000,4,2,"Other family household: Female householder, no spouse present",3
"183",30000,1000,4,2,"Other family household: Female householder, no spouse present",3
"184",30000,1000,4,2,"Other family household: Female householder, no spouse present",3
"185",175000,3000,1,3,"Nonfamily household: Female householder: Living alone",0
"186",14000,340,1,1,"Nonfamily household: Male householder: Living alone",0
"187",110000,1500,2,3,"Nonfamily household: Female householder: Not living alone",5
"188",110000,1500,2,3,"Nonfamily household: Female householder: Not living alone",5
"189",96000,900,3,3,"Married couple household",3
"190",96000,900,3,3,"Married couple household",3
"191",96000,900,3,3,"Married couple household",3
"192",45000,1200,2,3,"Married couple household",4
"193",45000,1200,2,3,"Married couple household",4
"194",48000,1200,1,2,"Nonfamily household: Male householder: Living alone",1
"195",51000,1300,7,3,"Married couple household",0
"196",51000,1300,7,3,"Married couple household",0
"197",51000,1300,7,3,"Married couple household",0
"198",51000,1300,7,3,"Married couple household",0
"199",51000,1300,7,3,"Married couple household",0
"200",51000,1300,7,3,"Married couple household",0
"201",51000,1300,7,3,"Married couple household",0
"202",38300,710,1,1,"Nonfamily household: Male householder: Living alone",3
"203",53600,1300,1,1,"Nonfamily household: Female householder: Living alone",0
"204",21700,280,6,2,"Married couple household",4
"205",21700,280,6,2,"Married couple household",4
"206",21700,280,6,2,"Married couple household",4
"207",21700,280,6,2,"Married couple household",4
"208",21700,280,6,2,"Married couple household",4
"209",21700,280,6,2,"Married couple household",4
"210",102300,1900,5,4,"Married couple household",5
"211",102300,1900,5,4,"Married couple household",5
"212",102300,1900,5,4,"Married couple household",5
"213",102300,1900,5,4,"Married couple household",5
"214",102300,1900,5,4,"Married couple household",5
"215",27000,160,1,1,"Nonfamily household: Male householder: Living alone",5
"216",70000,930,4,4,"Nonfamily household: Male householder: Not living alone",3
"217",70000,930,4,4,"Nonfamily household: Male householder: Not living alone",3
"218",70000,930,4,4,"Nonfamily household: Male householder: Not living alone",3
"219",70000,930,4,4,"Nonfamily household: Male householder: Not living alone",3
"220",61000,880,1,1,"Nonfamily household: Male householder: Living alone",0
"221",13000,960,1,1,"Nonfamily household: Female householder: Living alone",2
"222",39000,900,1,1,"Nonfamily household: Male householder: Living alone",4
"223",30000,720,1,1,"Nonfamily household: Male householder: Living alone",3
"224",25000,1000,1,0,"Nonfamily household: Male householder: Living alone",3
"225",133000,1900,2,2,"Other family household: Male householder, no spouse present",1
"226",133000,1900,2,2,"Other family household: Male householder, no spouse present",1
"227",28000,760,1,0,"Nonfamily household: Male householder: Living alone",0
"228",26000,1600,1,1,"Nonfamily household: Male householder: Living alone",0
"229",3000,1000,4,2,"Nonfamily household: Male householder: Not living alone",2
"230",3000,1000,4,2,"Nonfamily household: Male householder: Not living alone",2
"231",3000,1000,4,2,"Nonfamily household: Male householder: Not living alone",2
"232",3000,1000,4,2,"Nonfamily household: Male householder: Not living alone",2
"233",117000,1800,2,2,"Other family household: Female householder, no spouse present",3
"234",117000,1800,2,2,"Other family household: Female householder, no spouse present",3
"235",46000,940,1,1,"Nonfamily household: Female householder: Living alone",3
"236",49300,1600,3,3,"Married couple household",2
"237",49300,1600,3,3,"Married couple household",2
"238",49300,1600,3,3,"Married couple household",2
"239",58000,1300,1,2,"Nonfamily household: Female householder: Living alone",3
"240",65000,1400,1,1,"Nonfamily household: Male householder: Living alone",0
"241",68000,1600,1,0,"Nonfamily household: Male householder: Living alone",0
"242",80000,1600,1,2,"Nonfamily household: Female householder: Living alone",4
"243",56050,1300,5,3,"Other family household: Female householder, no spouse present",3
"244",56050,1300,5,3,"Other family household: Female householder, no spouse present",3
"245",56050,1300,5,3,"Other family household: Female householder, no spouse present",3
"246",56050,1300,5,3,"Other family household: Female householder, no spouse present",3
"247",56050,1300,5,3,"Other family household: Female householder, no spouse present",3
"248",39000,1000,1,1,"Nonfamily household: Female householder: Living alone",2
"249",95000,1200,2,1,"Nonfamily household: Female householder: Not living alone",2
"250",95000,1200,2,1,"Nonfamily household: Female householder: Not living alone",2
"251",2000,1000,2,1,"Married couple household",3
"252",2000,1000,2,1,"Married couple household",3
"253",140000,2000,2,2,"Married couple household",3
"254",140000,2000,2,2,"Married couple household",3
"255",72400,1200,5,4,"Married couple household",1
"256",72400,1200,5,4,"Married couple household",1
"257",72400,1200,5,4,"Married couple household",1
"258",72400,1200,5,4,"Married couple household",1
"259",72400,1200,5,4,"Married couple household",1
"260",86000,1200,3,3,"Married couple household",5
"261",86000,1200,3,3,"Married couple household",5
"262",86000,1200,3,3,"Married couple household",5
"263",6000,900,1,1,"Nonfamily household: Male householder: Living alone",3
"264",48000,1300,2,2,"Nonfamily household: Female householder: Not living alone",5
"265",48000,1300,2,2,"Nonfamily household: Female householder: Not living alone",5
"266",28010,830,1,1,"Nonfamily household: Male householder: Living alone",4
"267",140000,1700,2,1,"Married couple household",2
"268",140000,1700,2,1,"Married couple household",2
"269",6700,1500,4,3,"Nonfamily household: Female householder: Not living alone",1
"270",6700,1500,4,3,"Nonfamily household: Female householder: Not living alone",1
"271",6700,1500,4,3,"Nonfamily household: Female householder: Not living alone",1
"272",6700,1500,4,3,"Nonfamily household: Female householder: Not living alone",1
"273",70000,950,1,1,"Nonfamily household: Male householder: Living alone",0
"274",68000,1600,1,1,"Nonfamily household: Female householder: Living alone",0
"275",32000,950,1,2,"Nonfamily household: Female householder: Living alone",8
"276",130200,1500,2,2,"Nonfamily household: Male householder: Not living alone",0
"277",130200,1500,2,2,"Nonfamily household: Male householder: Not living alone",0
"278",29200,1200,2,2,"Other family household: Male householder, no spouse present",5
"279",29200,1200,2,2,"Other family household: Male householder, no spouse present",5
"280",82300,3000,1,1,"Nonfamily household: Male householder: Living alone",1
"281",102010,990,1,1,"Nonfamily household: Male householder: Living alone",2
"282",141000,1700,2,3,"Married couple household",1
"283",141000,1700,2,3,"Married couple household",1
"284",5000,1600,1,1,"Nonfamily household: Male householder: Living alone",1
"285",84700,1400,2,2,"Other family household: Female householder, no spouse present",2
"286",84700,1400,2,2,"Other family household: Female householder, no spouse present",2
"287",260000,1700,2,2,"Married couple household",4
"288",260000,1700,2,2,"Married couple household",4
"289",151000,1200,4,3,"Other family household: Male householder, no spouse present",1
"290",151000,1200,4,3,"Other family household: Male householder, no spouse present",1
"291",151000,1200,4,3,"Other family household: Male householder, no spouse present",1
"292",151000,1200,4,3,"Other family household: Male householder, no spouse present",1
"293",178000,1900,3,2,"Other family household: Male householder, no spouse present",7
"294",178000,1900,3,2,"Other family household: Male householder, no spouse present",7
"295",178000,1900,3,2,"Other family household: Male householder, no spouse present",7
"296",21000,830,2,1,"Other family household: Female householder, no spouse present",0
"297",21000,830,2,1,"Other family household: Female householder, no spouse present",0
"298",6000,550,1,1,"Nonfamily household: Male householder: Living alone",3
"299",2000,1600,1,1,"Nonfamily household: Female householder: Living alone",0
"300",150000,1500,1,3,"Nonfamily household: Male householder: Living alone",3
"301",18650,950,4,4,"Nonfamily household: Female householder: Not living alone",1
"302",18650,950,4,4,"Nonfamily household: Female householder: Not living alone",1
"303",18650,950,4,4,"Nonfamily household: Female householder: Not living alone",1
"304",18650,950,4,4,"Nonfamily household: Female householder: Not living alone",1
"305",96200,1600,6,4,"Married couple household",4
"306",96200,1600,6,4,"Married couple household",4
"307",96200,1600,6,4,"Married couple household",4
"308",96200,1600,6,4,"Married couple household",4
"309",96200,1600,6,4,"Married couple household",4
"310",96200,1600,6,4,"Married couple household",4
"311",58600,980,4,0,"Other family household: Female householder, no spouse present",2
"312",58600,980,4,0,"Other family household: Female householder, no spouse present",2
"313",58600,980,4,0,"Other family household: Female householder, no spouse present",2
"314",58600,980,4,0,"Other family household: Female householder, no spouse present",2
"315",45900,1100,1,1,"Nonfamily household: Female householder: Living alone",1
"316",17600,800,1,1,"Nonfamily household: Male householder: Living alone",3
"317",215800,3000,3,3,"Other family household: Female householder, no spouse present",2
"318",215800,3000,3,3,"Other family household: Female householder, no spouse present",2
"319",215800,3000,3,3,"Other family household: Female householder, no spouse present",2
"320",73000,1200,4,3,"Other family household: Male householder, no spouse present",1
"321",73000,1200,4,3,"Other family household: Male householder, no spouse present",1
"322",73000,1200,4,3,"Other family household: Male householder, no spouse present",1
"323",73000,1200,4,3,"Other family household: Male householder, no spouse present",1
"324",65500,1300,2,1,"Nonfamily household: Female householder: Not living alone",3
"325",65500,1300,2,1,"Nonfamily household: Female householder: Not living alone",3
"326",102000,890,4,2,"Other family household: Female householder, no spouse present",6
"327",102000,890,4,2,"Other family household: Female householder, no spouse present",6
"328",102000,890,4,2,"Other family household: Female householder, no spouse present",6
"329",102000,890,4,2,"Other family household: Female householder, no spouse present",6
"330",14000,1500,2,2,"Nonfamily household: Male householder: Not living alone",2
"331",14000,1500,2,2,"Nonfamily household: Male householder: Not living alone",2
"332",33600,890,5,3,"Married couple household",6
"333",33600,890,5,3,"Married couple household",6
"334",33600,890,5,3,"Married couple household",6
"335",33600,890,5,3,"Married couple household",6
"336",33600,890,5,3,"Married couple household",6
"337",41000,750,3,3,"Other family household: Female householder, no spouse present",4
"338",41000,750,3,3,"Other family household: Female householder, no spouse present",4
"339",41000,750,3,3,"Other family household: Female householder, no spouse present",4
"340",65000,960,1,1,"Nonfamily household: Male householder: Living alone",0
"341",135000,1700,2,2,"Married couple household",4
"342",135000,1700,2,2,"Married couple household",4
"343",58000,1000,2,2,"Married couple household",4
"344",58000,1000,2,2,"Married couple household",4
"345",118100,1600,4,4,"Other family household: Female householder, no spouse present",4
"346",118100,1600,4,4,"Other family household: Female householder, no spouse present",4
"347",118100,1600,4,4,"Other family household: Female householder, no spouse present",4
"348",118100,1600,4,4,"Other family household: Female householder, no spouse present",4
"349",65000,850,2,1,"Married couple household",2
"350",65000,850,2,1,"Married couple household",2
"351",145000,1300,2,2,"Nonfamily household: Female householder: Not living alone",3
"352",145000,1300,2,2,"Nonfamily household: Female householder: Not living alone",3
"353",70000,1900,2,2,"Other family household: Female householder, no spouse present",0
"354",70000,1900,2,2,"Other family household: Female householder, no spouse present",0
"355",50000,1000,2,2,"Other family household: Male householder, no spouse present",0
"356",50000,1000,2,2,"Other family household: Male householder, no spouse present",0
"357",23000,1100,1,4,"Nonfamily household: Female householder: Living alone",2
"358",47600,1300,1,2,"Nonfamily household: Female householder: Living alone",0
"359",8800,2200,2,2,"Other family household: Male householder, no spouse present",0
"360",8800,2200,2,2,"Other family household: Male householder, no spouse present",0
"361",3000,1300,1,1,"Nonfamily household: Female householder: Living alone",1
"362",188000,1700,2,2,"Nonfamily household: Female householder: Not living alone",5
"363",188000,1700,2,2,"Nonfamily household: Female householder: Not living alone",5
"364",60000,1500,2,3,"Nonfamily household: Male householder: Not living alone",3
"365",60000,1500,2,3,"Nonfamily household: Male householder: Not living alone",3
"366",140000,1500,2,2,"Nonfamily household: Male householder: Not living alone",7
"367",140000,1500,2,2,"Nonfamily household: Male householder: Not living alone",7
"368",60000,970,1,0,"Nonfamily household: Male householder: Living alone",4
"369",88500,1500,2,2,"Nonfamily household: Female householder: Not living alone",3
"370",88500,1500,2,2,"Nonfamily household: Female householder: Not living alone",3
"371",255000,3000,2,3,"Married couple household",6
"372",255000,3000,2,3,"Married couple household",6
"373",25400,1000,1,0,"Nonfamily household: Male householder: Living alone",0
"374",30000,800,1,1,"Nonfamily household: Male householder: Living alone",2
"375",31100,1100,5,2,"Married couple household",6
"376",31100,1100,5,2,"Married couple household",6
"377",31100,1100,5,2,"Married couple household",6
"378",31100,1100,5,2,"Married couple household",6
"379",31100,1100,5,2,"Married couple household",6
"380",45000,600,2,3,"Nonfamily household: Male householder: Not living alone",8
"381",45000,600,2,3,"Nonfamily household: Male householder: Not living alone",8
"382",20000,1100,1,1,"Nonfamily household: Female householder: Living alone",4
"383",2000,850,1,1,"Nonfamily household: Female householder: Living alone",2
"384",38700,1100,5,2,"Married couple household",3
"385",38700,1100,5,2,"Married couple household",3
"386",38700,1100,5,2,"Married couple household",3
"387",38700,1100,5,2,"Married couple household",3
"388",38700,1100,5,2,"Married couple household",3
"389",37300,950,1,1,"Nonfamily household: Female householder: Living alone",7
"390",36000,750,1,1,"Nonfamily household: Female householder: Living alone",2
"391",34770,980,4,2,"Other family household: Female householder, no spouse present",4
"392",34770,980,4,2,"Other family household: Female householder, no spouse present",4
"393",34770,980,4,2,"Other family household: Female householder, no spouse present",4
"394",34770,980,4,2,"Other family household: Female householder, no spouse present",4
"395",50100,1200,1,1,"Nonfamily household: Male householder: Living alone",4
"396",86200,1700,4,4,"Married couple household",2
"397",86200,1700,4,4,"Married couple household",2
"398",86200,1700,4,4,"Married couple household",2
"399",86200,1700,4,4,"Married couple household",2
"400",114900,600,10,3,"Other family household: Female householder, no spouse present",2
"401",114900,600,10,3,"Other family household: Female householder, no spouse present",2
"402",114900,600,10,3,"Other family household: Female householder, no spouse present",2
"403",114900,600,10,3,"Other family household: Female householder, no spouse present",2
"404",114900,600,10,3,"Other family household: Female householder, no spouse present",2
"405",114900,600,10,3,"Other family household: Female householder, no spouse present",2
"406",114900,600,10,3,"Other family household: Female householder, no spouse present",2
"407",114900,600,10,3,"Other family household: Female householder, no spouse present",2
"408",114900,600,10,3,"Other family household: Female householder, no spouse present",2
"409",114900,600,10,3,"Other family household: Female householder, no spouse present",2
"410",82730,1400,4,2,"Nonfamily household: Female householder: Not living alone",2
"411",82730,1400,4,2,"Nonfamily household: Female householder: Not living alone",2
"412",82730,1400,4,2,"Nonfamily household: Female householder: Not living alone",2
"413",82730,1400,4,2,"Nonfamily household: Female householder: Not living alone",2
"414",76000,1000,5,1,"Other family household: Female householder, no spouse present",4
"415",76000,1000,5,1,"Other family household: Female householder, no spouse present",4
"416",76000,1000,5,1,"Other family household: Female householder, no spouse present",4
"417",76000,1000,5,1,"Other family household: Female householder, no spouse present",4
"418",76000,1000,5,1,"Other family household: Female householder, no spouse present",4
"419",80000,1900,1,2,"Nonfamily household: Female householder: Living alone",7
"420",10000,710,1,1,"Nonfamily household: Female householder: Living alone",5
"421",60190,720,2,2,"Nonfamily household: Male householder: Not living alone",5
"422",60190,720,2,2,"Nonfamily household: Male householder: Not living alone",5
"423",110000,1500,2,2,"Nonfamily household: Female householder: Not living alone",5
"424",110000,1500,2,2,"Nonfamily household: Female householder: Not living alone",5
"425",58000,1700,1,2,"Nonfamily household: Male householder: Living alone",0
"426",40000,1100,2,1,"Nonfamily household: Female householder: Not living alone",3
"427",40000,1100,2,1,"Nonfamily household: Female householder: Not living alone",3
"428",149100,950,3,3,"Other family household: Female householder, no spouse present",2
"429",149100,950,3,3,"Other family household: Female householder, no spouse present",2
"430",149100,950,3,3,"Other family household: Female householder, no spouse present",2
"431",130000,1100,2,2,"Nonfamily household: Male householder: Not living alone",3
"432",130000,1100,2,2,"Nonfamily household: Male householder: Not living alone",3
"433",51000,1600,3,3,"Other family household: Male householder, no spouse present",3
"434",51000,1600,3,3,"Other family household: Male householder, no spouse present",3
"435",51000,1600,3,3,"Other family household: Male householder, no spouse present",3
"436",1200,850,1,1,"Nonfamily household: Female householder: Living alone",3
"437",90000,1900,2,3,"Nonfamily household: Female householder: Not living alone",1
"438",90000,1900,2,3,"Nonfamily household: Female householder: Not living alone",1
"439",75000,1100,2,3,"Other family household: Male householder, no spouse present",2
"440",75000,1100,2,3,"Other family household: Male householder, no spouse present",2
"441",56600,2000,1,2,"Nonfamily household: Male householder: Living alone",2
"442",30000,940,1,1,"Nonfamily household: Female householder: Living alone",4
"443",125000,1900,2,3,"Nonfamily household: Female householder: Not living alone",5
"444",125000,1900,2,3,"Nonfamily household: Female householder: Not living alone",5
"445",820,310,1,3,"Nonfamily household: Female householder: Living alone",3
"446",15000,530,1,0,"Nonfamily household: Female householder: Living alone",7
"447",35000,1500,2,3,"Nonfamily household: Male householder: Not living alone",4
"448",35000,1500,2,3,"Nonfamily household: Male householder: Not living alone",4
"449",105000,1500,2,3,"Nonfamily household: Female householder: Not living alone",1
"450",105000,1500,2,3,"Nonfamily household: Female householder: Not living alone",1
"451",132800,1500,2,3,"Nonfamily household: Female householder: Not living alone",4
"452",132800,1500,2,3,"Nonfamily household: Female householder: Not living alone",4
"453",10000,730,1,1,"Nonfamily household: Male householder: Living alone",8
"454",115000,830,1,0,"Nonfamily household: Male householder: Living alone",4
"455",99000,1300,2,2,"Married couple household",0
"456",99000,1300,2,2,"Married couple household",0
"457",28000,1300,1,1,"Nonfamily household: Male householder: Living alone",1
"458",83000,1400,1,2,"Nonfamily household: Female householder: Living alone",4
"459",143000,1400,2,2,"Nonfamily household: Male householder: Not living alone",3
"460",143000,1400,2,2,"Nonfamily household: Male householder: Not living alone",3
"461",135000,1000,5,2,"Nonfamily household: Male householder: Not living alone",4
"462",135000,1000,5,2,"Nonfamily household: Male householder: Not living alone",4
"463",135000,1000,5,2,"Nonfamily household: Male householder: Not living alone",4
"464",135000,1000,5,2,"Nonfamily household: Male householder: Not living alone",4
"465",135000,1000,5,2,"Nonfamily household: Male householder: Not living alone",4
"466",66900,1500,2,1,"Married couple household",0
"467",66900,1500,2,1,"Married couple household",0
